browseAvailable,browseURL,sceneID,acquisitionDate,cloudCover,path,row,DATA_TYPE_L1,sensor,cloudCoverFull,sceneStartTime,sunElevation,sunAzimuth
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011318PAC01_REFL.jpg,LT50430302011318PAC01,2011-11-14,2,43,30,L1T,LANDSAT_TM,25.43,2011:318:18:25:33.33638,26.2502094,160.43821698
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011302PAC01_REFL.jpg,LT50430302011302PAC01,2011-10-29,4,43,30,L1T,LANDSAT_TM,42.26,2011:302:18:25:56.94863,30.91337485,159.3117461
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011286PAC01_REFL.jpg,LT50430302011286PAC01,2011-10-13,2,43,30,L1T,LANDSAT_TM,28.46,2011:286:18:26:06.50206,36.19919336,156.75157459
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011270PAC01_REFL.jpg,LT50430302011270PAC01,2011-09-27,0,43,30,L1T,LANDSAT_TM,0.15,2011:270:18:26:21.69319,41.68308968,152.92816281
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011254PAC01_REFL.jpg,LT50430302011254PAC01,2011-09-11,0,43,30,L1T,LANDSAT_TM,0.19,2011:254:18:26:38.64175,46.98019581,148.06972713
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011238PAC01_REFL.jpg,LT50430302011238PAC01,2011-08-26,0,43,30,L1T,LANDSAT_TM,0.0,2011:238:18:26:49.74088,51.78631878,142.5718502
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011222PAC01_REFL.jpg,LT50430302011222PAC01,2011-08-10,0,43,30,L1T,LANDSAT_TM,0.09,2011:222:18:26:58.30800,55.90865215,137.11499835
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011206PAC01_REFL.jpg,LT50430302011206PAC01,2011-07-25,0,43,30,L1T,LANDSAT_TM,0.24,2011:206:18:27:07.54913,59.22904826,132.58407577
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011190PAC01_REFL.jpg,LT50430302011190PAC01,2011-07-09,0,43,30,L1T,LANDSAT_TM,0.26,2011:190:18:27:15.67069,61.6309638,129.8913176
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011174PAC01_REFL.jpg,LT50430302011174PAC01,2011-06-23,0,43,30,L1T,LANDSAT_TM,9.54,2011:174:18:27:21.77856,62.93585942,129.6904322
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011158PAC01_REFL.jpg,LT50430302011158PAC01,2011-06-07,2,43,30,L1T,LANDSAT_TM,23.9,2011:158:18:27:29.84506,62.89426136,131.96136541
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011142PAC01_REFL.jpg,LT50430302011142PAC01,2011-05-22,2,43,30,L1T,LANDSAT_TM,27.63,2011:142:18:27:37.27031,61.26334237,135.74421048
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011126PAC01_REFL.jpg,LT50430302011126PAC01,2011-05-06,8,43,30,L1G,LANDSAT_TM,87.8,2011:126:18:27:41.57713,57.99674871,139.7101214
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011110PAC01_REFL.jpg,LT50430302011110PAC01,2011-04-20,9,43,30,L1G,LANDSAT_TM,99.99,2011:110:18:27:46.80125,53.32332699,143.03693484
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011094PAC01_REFL.jpg,LT50430302011094PAC01,2011-04-04,9,43,30,L1G,LANDSAT_TM,99.47,2011:094:18:27:54.16325,47.65029128,145.58822523
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011078PAC01_REFL.jpg,LT50430302011078PAC01,2011-03-19,6,43,30,L1T,LANDSAT_TM,69.87,2011:078:18:27:56.33081,41.45556089,147.59260999
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011062PAC01_REFL.jpg,LT50430302011062PAC01,2011-03-03,9,43,30,L1G,LANDSAT_TM,91.03,2011:062:18:28:01.98319,35.27515491,149.45340695
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011046EDC00_REFL.jpg,LT50430302011046EDC00,2011-02-15,4,43,30,L1T,LANDSAT_TM,41.87,2011:046:18:28:03.34988,29.62394959,151.40456224
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011030PAC01_REFL.jpg,LT50430302011030PAC01,2011-01-30,5,43,30,L1T,LANDSAT_TM,57.48,2011:030:18:28:01.80100,25.01132062,153.57407869
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2011/LT50430302011014EDC00_REFL.jpg,LT50430302011014EDC00,2011-01-14,9,43,30,L1G,LANDSAT_TM,99.73,2011:014:18:28:01.18156,21.88017849,155.91525877
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010363EDC00_REFL.jpg,LT50430302010363EDC00,2010-12-29,7,43,30,L1T,LANDSAT_TM,73.25,2010:363:18:27:59.80363,20.52990317,158.18349899
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010347EDC00_REFL.jpg,LT50430302010347EDC00,2010-12-13,8,43,30,L1G,LANDSAT_TM,86.18,2010:347:18:27:55.62063,21.06214061,160.01163632
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010331EDC00_REFL.jpg,LT50430302010331EDC00,2010-11-27,9,43,30,L1G,LANDSAT_TM,94.89,2010:331:18:27:53.63406,23.36367074,161.03267962
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010315EDC01_REFL.jpg,LT50430302010315EDC01,2010-11-11,9,43,30,L1T,LANDSAT_TM,93.31,2010:315:18:27:51.73238,27.1228519,160.92008982
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010283PAC01_REFL.jpg,LT50430302010283PAC01,2010-10-10,1,43,30,L1T,LANDSAT_TM,18.55,2010:283:18:28:05.17319,37.28263374,156.75661677
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010267EDC00_REFL.jpg,LT50430302010267EDC00,2010-09-24,0,43,30,L1T,LANDSAT_TM,0.0,2010:267:18:28:13.47163,42.77162955,152.7370753
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010251PAC01_REFL.jpg,LT50430302010251PAC01,2010-09-08,8,43,30,L1G,LANDSAT_TM,90.9,2010:251:18:28:19.51956,48.01143807,147.71339334
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010235EDC00_REFL.jpg,LT50430302010235EDC00,2010-08-23,0,43,30,L1T,LANDSAT_TM,0.0,2010:235:18:28:23.07569,52.72175945,142.15552581
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010219EDC00_REFL.jpg,LT50430302010219EDC00,2010-08-07,0,43,30,L1T,LANDSAT_TM,0.01,2010:219:18:28:27.12331,56.72365326,136.78330252
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010203EDC00_REFL.jpg,LT50430302010203EDC00,2010-07-22,0,43,30,L1T,LANDSAT_TM,0.0,2010:203:18:28:33.41275,59.902467,132.50225479
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010187PAC01_REFL.jpg,LT50430302010187PAC01,2010-07-06,0,43,30,L1T,LANDSAT_TM,0.0,2010:187:18:28:37.32569,62.12830699,130.19430732
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010171PAC01_REFL.jpg,LT50430302010171PAC01,2010-06-20,7,43,30,L1G,LANDSAT_TM,74.08,2010:171:18:28:41.82606,63.2158728,130.45105789
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010155EDC00_REFL.jpg,LT50430302010155EDC00,2010-06-04,8,43,30,L1G,LANDSAT_TM,87.18,2010:155:18:28:46.24556,62.89867327,133.05861452
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010139PAC01_REFL.jpg,LT50430302010139PAC01,2010-05-19,2,43,30,L1T,LANDSAT_TM,29.52,2010:139:18:28:51.45838,60.96688457,136.94757475
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010123PAC01_REFL.jpg,LT50430302010123PAC01,2010-05-03,7,43,30,L1T,LANDSAT_TM,75.04,2010:123:18:28:54.36375,57.42113699,140.81000619
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010107PAC01_REFL.jpg,LT50430302010107PAC01,2010-04-17,4,43,30,L1T,LANDSAT_TM,44.54,2010:107:18:28:57.99931,52.53004167,143.95065972
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010091PAC01_REFL.jpg,LT50430302010091PAC01,2010-04-01,6,43,30,L1G,LANDSAT_TM,64.71,2010:091:18:28:59.93719,46.71571007,146.32123347
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010075PAC01_REFL.jpg,LT50430302010075PAC01,2010-03-16,6,43,30,L1T,LANDSAT_TM,62.54,2010:075:18:29:02.00688,40.47909514,148.24173454
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010059PAC01_REFL.jpg,LT50430302010059PAC01,2010-02-28,3,43,30,L1T,LANDSAT_TM,36.47,2010:059:18:29:01.50281,34.33868288,150.05079177
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010043PAC01_REFL.jpg,LT50430302010043PAC01,2010-02-12,8,43,30,L1G,LANDSAT_TM,90.11,2010:043:18:28:59.43763,28.82184044,152.00418166
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010027PAC01_REFL.jpg,LT50430302010027PAC01,2010-01-27,6,43,30,L1T,LANDSAT_TM,68.08,2010:027:18:28:56.33738,24.42797373,154.19277822
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2010/LT50430302010011PAC02_REFL.jpg,LT50430302010011PAC02,2010-01-11,9,43,30,L1G,LANDSAT_TM,92.38,2010:011:18:28:52.49963,21.57713147,156.52289985
