browseAvailable,browseURL,sceneID,acquisitionDate,cloudCover,path,row,DATA_TYPE_L1,sensor,cloudCoverFull,sceneStartTime,sunElevation,sunAzimuth
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/1989/LT50430301989353XXX01_REFL.jpg,LT50430301989353XXX01,1989-12-19,0,43,30,L1T,LANDSAT_TM,0.0,1989:353:18:01:24.94050,18.69030632,153.25550402
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/1989/LT50430301989337XXX01_REFL.jpg,LT50430301989337XXX01,1989-12-03,8,43,30,L1T,LANDSAT_TM,90.0,1989:337:18:01:53.01975,20.48841971,154.57976623
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/1989/LT50430301989305XXX01_REFL.jpg,LT50430301989305XXX01,1989-11-01,0,43,30,L1T,LANDSAT_TM,0.0,1989:305:18:02:48.17256,28.20468795,153.56044186
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/1989/LT50430301989289XXX02_REFL.jpg,LT50430301989289XXX02,1989-10-16,0,43,30,L1T,LANDSAT_TM,0.0,1989:289:18:03:10.30156,33.25123167,150.91885046
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/1989/LT50430301989273XXX02_REFL.jpg,LT50430301989273XXX02,1989-09-30,6,43,30,L1G,LANDSAT_TM,70.0,1989:273:18:03:47.09338,38.52347064,147.01252905
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/1989/LT50430301989241XXX02_REFL.jpg,LT50430301989241XXX02,1989-08-29,2,43,30,L1T,LANDSAT_TM,30.0,1989:241:18:04:29.65906,48.23329439,136.26710841
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/1989/LT50430301989225XXX05_REFL.jpg,LT50430301989225XXX05,1989-08-13,0,43,30,L1T,LANDSAT_TM,0.0,1989:225:18:04:49.40219,52.2425223,130.58158183
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/1989/LT50430301989209AAA02_REFL.jpg,LT50430301989209AAA02,1989-07-28,0,43,30,L1T,LANDSAT_TM,0.0,1989:209:18:05:12.13975,55.54383831,125.73351701
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/1989/LT50430301989161XXX02_REFL.jpg,LT50430301989161XXX02,1989-06-10,0,43,30,L1T,LANDSAT_TM,0.0,1989:161:18:06:09.07444,59.94314829,123.34924914
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/1989/LT50430301989145XXX02_REFL.jpg,LT50430301989145XXX02,1989-05-25,7,43,30,L1G,LANDSAT_TM,80.0,1989:145:18:06:27.04463,58.82693368,126.87471338
